1;33.8;44.5;
2;126.7;199.2;
3;24.5;719.8;
4;394.8;795.5;
5;441.1;1157.5;
6;460.1;24.8;
7;1271.9;468.3;
8;648.9;258.9;
9;82.9;863.6;
10;267.8;238.2;
11;273.3;133.0;
12;343.7;3.1;
13;25.6;82.6;
14;105.9;105.7;
15;198.5;1020.2;
16;82.2;75.2;
17;170.5;89.7;
18;55.0;62.0;
19;157.0;240.8;
20;49.8;368.8;
21;413.0;407.6;
22;96.7;19.4;
23;823.9;21.6;
24;474.0;229.6;
25;688.2;336.5;
26;1.3;1166.9;
27;647.7;483.9;
28;199.9;404.9;
29;102.2;92.0;
30;87.3;346.0;
31;93.2;247.1;
32;113.3;129.2;
33;172.8;629.1;
34;287.5;248.6;
35;322.0;44.3;
36;434.8;350.2;
37;620.2;270.1;
38;476.3;463.5;
39;530.4;539.6;
40;388.9;413.5;
41;893.7;9.2;
42;50.1;104.5;
43;613.0;373.6;
44;995.1;468.3;
45;35.6;8.3;
46;846.9;289.0;
47;134.1;6.5;
48;159.6;284.1;
49;883.0;299.5;
50;57.6;287.2;
51;243.4;125.2;
52;243.1;290.7;
53;369.4;378.2;
54;110.0;289.6;
55;863.2;235.8;
56;188.5;163.2;
57;854.0;723.7;
58;24.7;625.1;
59;331.7;37.4;
60;1075.3;378.4;
61;132.8;396.4;
62;468.3;364.5;
63;466.2;732.3;
64;703.9;985.4;
65;448.4;703.3;
66;352.7;471.7;
67;1.8;286.2;
68;41.0;106.4;
69;159.8;773.0;
70;277.8;483.4;
71;358.1;368.8;
72;188.2;116.2;
73;417.9;339.9;
74;281.1;993.4;
75;388.3;309.4;
76;260.1;492.3;
77;182.5;39.3;
78;238.8;522.5;
79;740.8;88.9;
80;35.3;354.0;
81;708.4;267.6;
82;553.4;122.4;
83;823.3;4.3;
84;1396.2;703.9;
85;172.8;1187.1;
86;299.4;200.7;
87;744.8;232.0;
88;5.8;5.7;
89;0.6;634.7;
90;1053.9;62.8;
91;377.1;56.3;
92;44.1;189.3;
93;105.8;188.4;
94;2.4;232.9;
95;31.9;558.3;
96;120.8;161.4;
97;1102.0;48.8;
98;13.2;304.4;
99;8.0;482.0;
100;214.4;583.5;
